X,Y,GID,Extern ID,Straat,Plaats,Categorie,Subcategori,Status,Uitv.datum,Uitv.tijd,Verw.tijd
6.17700453915718,52.0046179421961,15635,,RIJKSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.30962832503093,52.0965720671126,15636,,RONDWEG,,Watergeven 2026,,niet verwerkt,,,0
6.24457910000452,52.142226514569,15637,,VORDENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.27664153786715,52.125419439531,15638,,VORDENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.27757528188136,52.1251345591477,15639,,VORDENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.25775537091001,52.005614572192,15640,,ZELHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12359770881531,52.1840084173033,15641,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.2226745924011,52.1453575238616,15642,,N346,,Watergeven 2026,,niet verwerkt,,,0
6.18149044399716,52.2350098120689,15643,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.20157744551956,52.1589509908661,15644,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.11219849042686,52.0494865809233,15645,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.20331254942282,52.1580595533834,15646,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.12553949403441,52.2150697875009,15647,,FLIERTWEG,,Watergeven 2026,,niet verwerkt,,,0
6.03736048690825,52.1333348212419,15648,,HOOFDWEG,,Watergeven 2026,,niet verwerkt,,,0
6.09824211548781,52.1818062710181,15649,,HOOFDWEG,,Watergeven 2026,,niet verwerkt,,,0
6.03711263651245,52.1327618170569,15650,,HOOFDWEG,,Watergeven 2026,,niet verwerkt,,,0
6.30177458427886,52.0042109655158,15651,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.30189436333599,52.0041353622935,15652,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.30400611153321,52.0048031830429,15653,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.31646712278972,52.0056900067938,15654,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.319796646749,52.0061561424852,15655,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1076289600641,52.0561733045132,15656,,KANAALWEG,,Watergeven 2026,,niet verwerkt,,,0
6.10479100162028,52.0593148867802,15657,,KANAALWEG,,Watergeven 2026,,niet verwerkt,,,0
6.25150118202759,52.143714492874,15658,,LOCHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12887801770049,52.2151712464375,15659,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.123273340339,52.2142740522235,15660,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12264302121988,52.2141557260578,15661,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12298366176511,52.2142198194367,15662,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12288710224048,52.2142000984069,15663,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12279858934289,52.2141836642087,15664,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.25341054932829,52.135731154984,15665,,VORDENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.23915930086209,52.0025169768611,15666,,ZELHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
